Cell ID,Cell birth time,Cell age,stat0,Long axis (L) birth,Long axis (L) death,Short axis birth,Short axis death,Area birth,Area death,Fluor1 sum,Fluor1 mean,Mother ID,Daughter1 ID,Daughter2 ID,L death / L birth,Fluor1 sum death,Fluor1 mean death,Long axis/Short axis birth,Long axis/Short axis death,Growth Rate,Volume birth,Volume division,Vd-Vb,fov,Time Division
5448.0,309.0,108.0,2.0,16.0,32.0,8.929265879833377,8.983781390273672,143.0,288.0,349216.0,2442.0699300699303,5380.0,5627.0,5628.0,2.0,838975.0,2913.1076388888887,1.7918606316937855,3.56197447487368,0.019254088348887373,0.9907063942044019,2.2334716394935583,1.2427652452891564,xy3,417.0
5459.0,315.0,90.0,2.0,21.0,46.0,7.483991324825313,8.257455990176979,160.0,380.0,325627.0,2035.16875,5415.0,5594.0,5595.0,2.1904761904761907,735075.0,1934.407894736842,2.8059893562864557,5.57072299927742,0.0261372986255224,0.9888870069272239,2.813434635958728,1.8245476290315041,xy3,405.0
5480.0,327.0,45.0,2.0,32.0,49.0,8.236762238114983,8.302929166260046,266.0,408.0,424636.0,1596.375939849624,5368.0,5546.0,5547.0,1.53125,596714.0,1462.5343137254902,3.8850216960157558,5.901531738837109,0.028405626354059996,1.893597107235102,3.040827890368185,1.147230783133083,xy3,372.0
5481.0,327.0,45.0,2.0,35.0,54.0,7.6598077151150035,7.910005948441323,281.0,428.0,431694.0,1536.2775800711743,5368.0,5548.0,5549.0,1.542857142857143,608271.0,1421.193925233645,4.569305301350441,6.826796383211415,0.0289090656716574,1.8163093557973737,3.0661256161879096,1.2498162603905358,xy3,372.0
5489.0,330.0,81.0,2.0,17.0,36.0,8.373967232224986,8.02765297351362,146.0,302.0,239307.0,1639.0890410958905,5403.0,5613.0,5614.0,2.1176470588235294,521309.0,1726.1887417218543,2.030101089311649,4.4844987842372035,0.027789096088884954,0.9506032913729715,2.0488914648038468,1.0982881734308751,xy3,411.0
5492.0,336.0,108.0,2.0,14.0,35.0,8.927039264921378,9.012527544845481,127.0,319.0,356441.0,2806.6220472440946,5379.0,5660.0,5661.0,2.5,695481.0,2180.191222570533,1.5682691186329514,3.883483276566238,0.025452520329837643,0.8382042338555462,2.4795316202353974,1.6413273863798512,xy3,444.0
5493.0,336.0,87.0,2.0,14.0,29.0,9.043565881481324,8.624707762434607,127.0,253.0,338877.0,2668.3228346456694,5379.0,5637.0,5638.0,2.0714285714285716,807295.0,3190.889328063241,1.5480619241872342,3.3624327685989672,0.025111672426593647,0.8571987189527215,1.8540858310697323,0.9968871121170109,xy3,423.0
5505.0,348.0,81.0,2.0,16.0,36.0,8.887892900197722,7.7955358272371775,143.0,295.0,376393.0,2632.1188811188813,5384.0,5641.0,5642.0,2.25,707630.0,2398.7457627118642,1.8002017103113452,4.618027650417302,0.03003445245245662,0.9825863434359137,1.9366043305239489,0.9540179870880352,xy3,429.0
5506.0,348.0,81.0,2.0,15.0,34.0,8.206132900822462,7.839947290398186,127.0,279.0,332820.0,2620.6299212598424,5384.0,5643.0,5644.0,2.2666666666666666,688331.0,2467.136200716846,1.8279011784584454,4.336763850649965,0.03030778975977598,0.7879785812271304,1.8405806990310576,1.0526021178039273,xy3,429.0
5508.0,351.0,69.0,2.0,20.0,34.0,8.292479567899855,8.852941176470589,166.0,301.0,264406.0,1592.8072289156626,5404.0,5631.0,5632.0,1.7,558359.0,1855.0132890365448,2.411823850301651,3.840531561461794,0.023070793524442204,1.1307964005125473,2.3217004649521233,1.190904064439576,xy3,420.0
